key,bookKey,date,chapter,chapterIndex,text,cfi,range,notes,percentage,color,tag,highlightType,bookName,bookAuthor
1758361482040,1738143464138,2025-09-20,,7,"caddish","{""text"":""Haldeman imprinted that spirit onto one of his twin girls, Elon’s mother, Maye. “I know that I can take a risk as long as I’m prepared,” she says. As a young student, she did well in science and math. She was also strikingly good-looking. Tall and blue-eyed, with high cheekbones and sculpted chin, she began working at age fifteen as a model, doing department store runway shows on Saturday mornings."",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""12"",""page"":"""",""percentage"":""0.015520127069573762""}","{""characterRange"":{""start"":5396,""end"":5403},""backward"":false}","Around that time, she met a boy in her neighborhood who was also strikingly good-looking, albeit in a smooth and caddish way.",0.015520127069573762,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758361515114,1738143464138,2025-09-20,,7,wheeler-dealer,"{""text"":""Errol Musk"",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""14"",""page"":"""",""percentage"":""0.016070967089175436""}","{""characterRange"":{""start"":5453,""end"":5467},""backward"":false}","Errol Musk was an adventurer and wheeler-dealer, always on the lookout for the next opportunity.",0.016070967089175436,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758361527396,1738143464138,2025-09-20,,7,on the lookout for,"{""text"":""Errol Musk"",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""14"",""page"":"""",""percentage"":""0.016070967089175436""}","{""characterRange"":{""start"":5476,""end"":5494},""backward"":false}","Errol Musk was an adventurer and wheeler-dealer, always on the lookout for the next opportunity.",0.016070967089175436,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758361575837,1738143464138,2025-09-20,,7,"fighter-bombers","{""text"":""Errol Musk"",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""14"",""page"":""10"",""percentage"":""0.016070967089175436""}","{""characterRange"":{""start"":5629,""end"":5644},""backward"":false}","His mother, Cora, was from England, where she finished school at fourteen, worked at a factory making skins for fighter-bombers, then took a refugee ship to South Africa.",0.016070967089175436,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758361586745,1738143464138,2025-09-20,,7,refugee,"{""text"":""Errol Musk"",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""14"",""page"":""10"",""percentage"":""0.016070967089175436""}","{""characterRange"":{""start"":5658,""end"":5665},""backward"":false}","His mother, Cora, was from England, where she finished school at fourteen, worked at a factory making skins for fighter-bombers, then took a refugee ship to South Africa.",0.016070967089175436,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758361617955,1738143464138,2025-09-20,,7,cryptographer,"{""text"":""Errol Musk"",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""14"",""page"":""10"",""percentage"":""0.016070967089175436""}","{""characterRange"":{""start"":5717,""end"":5730},""backward"":false}","There she met Walter Musk, a cryptographer and military intelligence officer who worked in Egypt on schemes to fool the Germans by deploying fake weapons and searchlights.",0.016070967089175436,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758361632349,1738143464138,2025-09-20,,7,"searchlights","{""text"":""Errol Musk"",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""14"",""page"":""10"",""percentage"":""0.016070967089175436""}","{""characterRange"":{""start"":5846,""end"":5858},""backward"":false}","There she met Walter Musk, a cryptographer and military intelligence officer who worked in Egypt on schemes to fool the Germans by deploying fake weapons and searchlights.",0.016070967089175436,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758361698662,1738143464138,2025-09-20,,7,armchair,"{""text"":""Errol earned a degree in engineering and worked on building hotels, shopping centers, and factories. On the side, he liked restoring old cars and planes. He also dabbled in politics, defeating an Afrikaner member of the pro-apartheid National Party to become one of the few English-speaking members of the Pretoria City Council. The Pretoria News for March 9, 1972, reported the election under the headline “Reaction against the Establishment.”"",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""16"",""page"":"""",""percentage"":""0.016621807108777115""}","{""characterRange"":{""start"":5919,""end"":5927},""backward"":false}","After the war, he did little other than sit silently in an armchair, drink, and use his cryptology skills on crossword puzzles.",0.016621807108777115,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758361744786,1738143464138,2025-09-20,,7,Buick,"{""text"":""Errol earned a degree in engineering and worked on building hotels, shopping centers, and factories. On the side, he liked restoring old cars and planes. He also dabbled in politics, defeating an Afrikaner member of the pro-apartheid National Party to become one of the few English-speaking members of the Pretoria City Council. The Pretoria News for March 9, 1972, reported the election under the headline “Reaction against the Establishment.”"",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""16"",""page"":"""",""percentage"":""0.016621807108777115""}","{""characterRange"":{""start"":6057,""end"":6062},""backward"":false}","So Cora left him, went back to England with their two sons, bought a Buick, and then returned to Pretoria.",0.016621807108777115,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
1758361757763,1738143464138,2025-09-20,,7,Pretoria,"{""text"":""Errol earned a degree in engineering and worked on building hotels, shopping centers, and factories. On the side, he liked restoring old cars and planes. He also dabbled in politics, defeating an Afrikaner member of the pro-apartheid National Party to become one of the few English-speaking members of the Pretoria City Council. The Pretoria News for March 9, 1972, reported the election under the headline “Reaction against the Establishment.”"",""chapterTitle"":"""",""chapterDocIndex"":""7"",""chapterHref"":"""",""count"":""16"",""page"":"""",""percentage"":""0.016621807108777115""}","{""characterRange"":{""start"":6085,""end"":6093},""backward"":false}","So Cora left him, went back to England with their two sons, bought a Buick, and then returned to Pretoria.",0.016621807108777115,#FBF1D1,,background,"Elon Musk","Walter Isaacson"
